Raleigh-Durham,Wash D.C.,Jacksonville,Edmonton
73.04,73.04,79.07,47.93
76.46,76.01,75.02,51.89
78.08,72.95,78.53,50.18
78.53,77.54,78.08,59.18
78.98,80.51,84.47,57.29
80.96,76.01,76.01,58.73
76.01,66.02,74.03,61.97
73.49,71.42,73.49,63.5
73.94,75.02,74.03,62.96
75.56,73.94,79.07,60.35
76.46,77,81.5,48.29
76.55,74.03,78.98,46.58
75.47,74.48,78.53,41.99
77.54,76.01,77.45,50.72
73.49,77.99,79.43,53.96
57.56,77.99,79.97,52.34
58.01,77.99,71.51,47.39
63.5,77.99,74.03,45.23
67.55,77.99,71.51,50.45
71.06,66.02,77.99,46.76
74.93,67.55,79.52,58.19
76.01,72.5,80.06,57.56
69.98,76.01,80.51,58.46
72.5,69.44,80.51,53.78
75.02,70.97,81.05,65.75
76.46,71.06,80.51,57.65
80.06,77,80.51,52.34
74.93,74.03,81.05,43.43
72.5,75.47,79.52,44.06
69.98,68,78.53,54.59
55.49,67.01,65.03,43.07
53.51,49.01,62.51,41.36
55.04,49.55,62.96,43.7
58.01,51.53,63.95,41.72
62.96,61.52,67.01,45.95
62.51,62.96,71.96,46.4
59.45,60.53,74.48,48.74
59.54,62.06,72.5,42.08
64.49,64.49,76.01,47.48
65.48,63.5,77.45,41.81
64.49,69.53,78.53,43.97
70.52,71.51,74.48,44.33
73.04,68.54,75.47,43.07
63.5,70.97,68.99,37.94
60.44,70.97,68.45,34.34
60.53,60.44,70.43,33.17
69.98,61.97,69.98,37.04
70.97,61.97,73.04,44.51
60.98,61.97,65.03,43.79
53.51,62.96,54.5,36.41
53.51,55.49,54.95,35.42
54.95,52.52,55.49,39.65
54.5,57.47,59.45,35.78
57.47,55.49,63.5,31.55
58.01,56.48,62.06,32.72
60.44,59.45,69.53,31.46
65.48,59.45,71.96,31.46
52.97,51.98,70.97,29.03
43.97,45.5,59,35.87
43.97,36.5,58.55,39.02
44.96,43.43,63.5,35.69
49.01,45.5,58.46,31.1
49.01,49.01,60.98,33.17
51.44,48.47,67.01,35.78
50.99,53.96,58.46,15.98
46.49,48.47,54.5,19.67
52.43,41.54,58.46,19.22
54.5,47.48,67.01,27.86
54.95,51.98,67.46,25.25
55.04,53.06,63.5,23.9
53.42,54.5,61.97,39.38
43.07,54.5,49.46,36.05
48.47,40.55,50,30.11
53.42,51.53,59.99,29.03
65.93,56.03,63.05,23.18
70.07,65.03,69.98,11.12
70.52,63.05,73.94,20.12
48.02,54.05,64.58,13.55
39.02,41,55.04,-7.06
45.5,37.04,63.5,-10.48
59.99,47.03,67.46,-17.41
68.54,61.97,67.55,1.94
68.99,57.47,69.44,21.11
61.43,56.48,67.46,26.42
50.99,48.02,57.47,17.15
52.52,48.47,60.98,19.85
54.5,50.45,67.01,21.2
63.05,53.51,67.01,38.21
65.57,61.97,66.56,25.16
53.42,62.96,53.06,29.75
43.52,52.97,47.48,21.2
42.44,52.97,50.99,25.34
46.49,41,53.42,25.79
46.04,43.43,55.04,22.73
47.48,41.45,64.49,16.88
58.01,44.42,65.03,25.7
66.02,50.45,67.01,35.06
57.02,52.97,59.99,10.13
42.08,47.03,47.03,2.93
43.52,35.96,57.02,24.8
44.51,40.01,55.58,23.99
38.48,35.51,56.48,23.36
40.01,32,55.49,15.44
46.94,36.5,56.93,18.41
49.55,36.5,59,16.16
55.49,41,60.98,11.03
54.5,53.96,60.98,23.09
39.92,41.54,61.97,31.1
37.94,34.52,50.99,19.31
42.98,34.52,55.94,20.93
50.99,38.03,60.98,36.68
59.99,50.99,66.92,21.56
64.49,53.51,69.44,22.01
56.48,53.51,68.99,27.77
43.97,46.04,62.06,28.49
42.98,37.04,65.03,35.24
43.97,41,59.99,28.49
53.06,42.08,59,20.75
45.5,48.02,49.46,15.53
41,37.49,50,23.63
49.01,36.95,53.96,17.15
52.43,44.06,62.96,13.55
51.53,47.03,59.99,7.25
43.52,47.48,51.44,23.27
29.57,34.97,34.52,26.69
31.55,24.08,37.94,36.14
42.53,25.97,49.46,30.47
49.55,37.94,53.51,22.55
55.49,48.47,57.56,22.19
53.51,51.98,58.55,32.81
45.95,40.01,60.98,36.68
49.46,35.51,61.43,21.92
52.07,34.97,64.04,11.03
51.53,39.47,60.44,23.18
42.53,47.03,50.45,21.74
34.52,33.53,42.44,16.16
37.04,31.01,48.02,2.39
36.95,27.95,49.01,-19.03
53.51,33.44,57.92,-23.62
46.49,49.55,54.5,-20.11
